Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.70     0.00   529104     0.00     0.00  AND(float __vector(4), float __vector(4))
  0.00      0.70     0.00   432573     0.00     0.00  SUB(float __vector(4), float __vector(4))
  0.00      0.70     0.00   323879     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::operator[](unsigned long)
  0.00      0.70     0.00   321872     0.00     0.00  SET(int const&)
  0.00      0.70     0.00   284772     0.00     0.00  CMPGT(long long __vector(2), long long __vector(2))
  0.00      0.70     0.00   282496     0.00     0.00  RCPSQRT(float __vector(4))
  0.00      0.70     0.00   282462     0.00     0.00  RCP(float __vector(4))
  0.00      0.70     0.00   279535     0.00     0.00  MIN(float __vector(4), float __vector(4))
  0.00      0.70     0.00   279058     0.00     0.00  CVT(long long __vector(2))
  0.00      0.70     0.00   265099     0.00     0.00  cv::MatStep::operator[](int)
  0.00      0.70     0.00   247235     0.00     0.00  CMPLT(float __vector(4), float __vector(4))
  0.00      0.70     0.00   120793     0.00     0.00  cv::Mat&& std::forward<cv::Mat>(std::remove_reference<cv::Mat>::type&)
  0.00      0.70     0.00   105568     0.00     0.00  cv::Mat* std::__addressof<cv::Mat>(cv::Mat&)
  0.00      0.70     0.00    82379     0.00     0.00  void std::_Destroy<cv::Mat>(cv::Mat*)
  0.00      0.70     0.00    78094     0.00     0.00  cv::_InputArray::init(int, void const*)
  0.00      0.70     0.00    75150     0.00     0.00  cv::MatExpr::~MatExpr()
  0.00      0.70     0.00    68179     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.70     0.00    61208     0.00     0.00  cv::Size_<int>::Size_()
  0.00      0.70     0.00    58879     0.00     0.00  cv::_InputArray::~_InputArray()
  0.00      0.70     0.00    56320     0.00     0.00  std::sqrt(float)
  0.00      0.70     0.00    42416     0.00     0.00  cv::MatSize::MatSize(int*)
  0.00      0.70     0.00    41196     0.00     0.00  void std::allocator_traits<std::allocator<cv::Mat> >::construct<cv::Mat, cv::Mat>(std::allocator<cv::Mat>&, cv::Mat*, cv::Mat&&)
  0.00      0.70     0.00    41004     0.00     0.00  cv::MatStep::MatStep()
  0.00      0.70     0.00    40833     0.00     0.00  cv::_InputArray::_InputArray(cv::Mat const&)
  0.00      0.70     0.00    40815     0.00     0.00  cv::Mat::Mat(cv::Mat&&)
  0.00      0.70     0.00    40449     0.00     0.00  void __gnu_cxx::new_allocator<cv::Mat>::construct<cv::Mat, cv::Mat>(cv::Mat*, cv::Mat&&)
  0.00      0.70     0.00    40440     0.00     0.00  void std::vector<cv::Mat, std::allocator<cv::Mat> >::emplace_back<cv::Mat>(cv::Mat&&)
  0.00      0.70     0.00    37540     0.00     0.00  std::remove_reference<cv::Mat&>::type&& std::move<cv::Mat&>(cv::Mat&)
  0.00      0.70     0.00    35468     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::push_back(cv::Mat&&)
  0.00      0.70     0.00    25411     0.00     0.00  void std::_Construct<cv::Mat>(cv::Mat*)
  0.00      0.70     0.00    24957     0.00     0.00  cv::Mat::operator=(cv::Mat&&)
  0.00      0.70     0.00    20000     0.00     0.00  std::acos(float)
  0.00      0.70     0.00    18648     0.00     0.00  std::vector<complex_mat, std::allocator<complex_mat> >::operator[](unsigned long) const
  0.00      0.70     0.00    17873     0.00     0.00  cv::_InputArray::_InputArray()
  0.00      0.70     0.00    17247     0.00     0.00  cv::_OutputArray::~_OutputArray()
  0.00      0.70     0.00    14487     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_M_get_Tp_allocator()
  0.00      0.70     0.00    14399     0.00     0.00  cv::_OutputArray::_OutputArray(cv::Mat&)
  0.00      0.70     0.00    11911     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl_data const&)
  0.00      0.70     0.00    11309     0.00     0.00  wrFree(void*)
  0.00      0.70     0.00    10964     0.00     0.00  __gnu_cxx::new_allocator<cv::Mat>::~new_allocator()
  0.00      0.70     0.00    10572     0.00     0.00  std::allocator<cv::Mat>::~allocator()
  0.00      0.70     0.00    10109     0.00     0.00  complex_mat::complex_mat()
  0.00      0.70     0.00    10109     0.00     0.00  complex_mat::~complex_mat()
  0.00      0.70     0.00     8750     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.70     0.00     8246     0.00     0.00  void std::_Destroy_aux<false>::__destroy<cv::Mat*>(cv::Mat*, cv::Mat*)
  0.00      0.70     0.00     8138     0.00     0.00  __gnu_cxx::new_allocator<cv::Mat>::new_allocator(__gnu_cxx::new_allocator<cv::Mat> const&)
  0.00      0.70     0.00     8123     0.00     0.00  std::allocator<cv::Mat>::allocator(std::allocator<cv::Mat> const&)
  0.00      0.70     0.00     7979     0.00     0.00  void std::_Destroy<cv::Mat*>(cv::Mat*, cv::Mat*)
  0.00      0.70     0.00     7901     0.00     0.00  void std::_Destroy<cv::Mat*, cv::Mat>(cv::Mat*, cv::Mat*, std::allocator<cv::Mat>&)
  0.00      0.70     0.00     7841     0.00     0.00  int const& std::max<int>(int const&, int const&)
  0.00      0.70     0.00     7705     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_M_deallocate(cv::Mat*, unsigned long)
  0.00      0.70     0.00     7654     0.00     0.00  alFree(void*)
  0.00      0.70     0.00     7601     0.00     0.00  int const& std::min<int>(int const&, int const&)
  0.00      0.70     0.00     7544     0.00     0.00  std::vector<complex_mat, std::allocator<complex_mat> >::operator[](unsigned long)
  0.00      0.70     0.00     7112     0.00     0.00  wrMalloc(unsigned long)
  0.00      0.70     0.00     6755     0.00     0.00  alMalloc(unsigned long, int)
  0.00      0.70     0.00     6462     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::~vector()
  0.00      0.70     0.00     6258     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::~_Vector_base()
  0.00      0.70     0.00     6003     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl::~_Vector_impl()
  0.00      0.70     0.00     5429     0.00     0.00  __gnu_cxx::new_allocator<cv::Mat>::_M_max_size() const
  0.00      0.70     0.00     5148     0.00     0.00  cv::Vec<double, 4>::operator[](int)
  0.00      0.70     0.00     4110     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl_data&)
  0.00      0.70     0.00     4060     0.00     0.00  cv::MatExpr::operator cv::Mat() const
  0.00      0.70     0.00     3913     0.00     0.00  cv::Point_<int>::Point_(int, int)
  0.00      0.70     0.00     3633     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_M_get_Tp_allocator() const
  0.00      0.70     0.00     3628     0.00     0.00  complex_mat::operator=(complex_mat&&)
  0.00      0.70     0.00     3255     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl::_Vector_impl(std::allocator<cv::Mat> const&)
  0.00      0.70     0.00     3222     0.00     0.00  std::allocator_traits<std::allocator<cv::Mat> >::deallocate(std::allocator<cv::Mat>&, cv::Mat*, unsigned long)
  0.00      0.70     0.00     3210     0.00     0.00  cv::Size_<int>::Size_(int, int)
  0.00      0.70     0.00     3203     0.00     0.00  __gnu_cxx::new_allocator<cv::Mat>::deallocate(cv::Mat*, unsigned long)
  0.00      0.70     0.00     3169     0.00     0.00  wrCalloc(unsigned long, unsigned long)
  0.00      0.70     0.00     3028     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.70     0.00     2860     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::_S_max_size(std::allocator<cv::Mat> const&)
  0.00      0.70     0.00     2833     0.00     0.00  std::remove_reference<std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl&>::type&& std::move<std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl&>(std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl&)
  0.00      0.70     0.00     2832     0.00     0.00  cv::MatSize::operator()() const
  0.00      0.70     0.00     2797     0.00     0.00  __gnu_cxx::new_allocator<cv::Mat>::new_allocator()
  0.00      0.70     0.00     2685     0.00     0.00  cv::Mat const* std::__make_move_if_noexcept_iterator<cv::Mat, cv::Mat const*>(cv::Mat*)
  0.00      0.70     0.00     2672     0.00     0.00  complex_mat* std::__addressof<complex_mat>(complex_mat&)
  0.00      0.70     0.00     2663     0.00     0.00  __gnu_cxx::new_allocator<cv::Mat>::allocate(unsigned long, void const*)
  0.00      0.70     0.00     2656     0.00     0.00  std::allocator<cv::Mat>::allocator()
  0.00      0.70     0.00     2652     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_M_allocate(unsigned long)
  0.00      0.70     0.00     2644     0.00     0.00  cv::_OutputArray::_OutputArray(cv::Mat const&)
  0.00      0.70     0.00     2640     0.00     0.00  cv::operator+=(cv::Mat&, cv::Mat const&)
  0.00      0.70     0.00     2597     0.00     0.00  __gnu_cxx::new_allocator<cv::Mat>::max_size() const
  0.00      0.70     0.00     2509     0.00     0.00  std::allocator_traits<std::allocator<cv::Mat> >::max_size(std::allocator<cv::Mat> const&)
  0.00      0.70     0.00     2499     0.00     0.00  std::allocator_traits<std::allocator<cv::Mat> >::allocate(std::allocator<cv::Mat>&, unsigned long)
  0.00      0.70     0.00     2454     0.00     0.00  FFT2(float**, _COMPLEX**, int, int)
  0.00      0.70     0.00     2264     0.00     0.00  newfft2(cv::Mat const&, cv::Mat const&)
  0.00      0.70     0.00     2210     0.00     0.00  void std::__do_alloc_on_move<std::allocator<cv::Mat> >(std::allocator<cv::Mat>&, std::allocator<cv::Mat>&, std::integral_constant<bool, true>)
  0.00      0.70     0.00     2138     0.00     0.00  void std::__alloc_on_move<std::allocator<cv::Mat> >(std::allocator<cv::Mat>&, std::allocator<cv::Mat>&)
  0.00      0.70     0.00     2080     0.00     0.00  std::remove_reference<std::allocator<cv::Mat>&>::type&& std::move<std::allocator<cv::Mat>&>(std::allocator<cv::Mat>&)
  0.00      0.70     0.00     2068     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::_M_move_assign(std::vector<cv::Mat, std::allocator<cv::Mat> >&&, std::integral_constant<bool, true>)
  0.00      0.70     0.00     2064     0.00     0.00  cvFloor(double)
  0.00      0.70     0.00     2014     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::vector(std::allocator<cv::Mat> const&)
  0.00      0.70     0.00     2004     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_base(std::allocator<cv::Mat> const&)
  0.00      0.70     0.00     1969     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::size() const
  0.00      0.70     0.00     1949     0.00     0.00  std::floor(float)
  0.00      0.70     0.00     1932     0.00     0.00  std::remove_reference<std::vector<cv::Mat, std::allocator<cv::Mat> >&>::type&& std::move<std::vector<cv::Mat, std::allocator<cv::Mat> >&>(std::vector<cv::Mat, std::allocator<cv::Mat> >&)
  0.00      0.70     0.00     1901     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::get_allocator() const
  0.00      0.70     0.00     1792     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::operator[](unsigned long) const
  0.00      0.70     0.00     1704     0.00     0.00  __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::floor<int>(int)
  0.00      0.70     0.00     1685     0.00     0.00  cv::Rect_<int>::Rect_(int, int, int, int)
  0.00      0.70     0.00     1584     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::capacity() const
  0.00      0.70     0.00     1489     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl::_Vector_impl(std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl&&)
  0.00      0.70     0.00     1477     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::max_size() const
  0.00      0.70     0.00     1467     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::reserve(unsigned long)
  0.00      0.70     0.00     1431     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl_data&&)
  0.00      0.70     0.00     1410     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::vector(unsigned long, std::allocator<cv::Mat> const&)
  0.00      0.70     0.00     1380     0.00     0.00  cv::Mat* std::vector<cv::Mat, std::allocator<cv::Mat> >::_M_allocate_and_copy<cv::Mat const*>(unsigned long, cv::Mat const*, cv::Mat const*)
  0.00      0.70     0.00     1375     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl::_Vector_impl()
  0.00      0.70     0.00     1336     0.00     0.00  void std::_Construct<complex_mat>(complex_mat*)
  0.00      0.70     0.00     1336     0.00     0.00  void std::_Destroy<complex_mat>(complex_mat*)
  0.00      0.70     0.00     1331     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_M_create_storage(unsigned long)
  0.00      0.70     0.00     1315     0.00     0.00  cv::Mat* std::__uninitialized_copy<false>::__uninit_copy<cv::Mat const*, cv::Mat*>(cv::Mat const*, cv::Mat const*, cv::Mat*)
  0.00      0.70     0.00     1305     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_base(std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >&&)
  0.00      0.70     0.00     1284     0.00     0.00  cv::Mat* std::uninitialized_copy<cv::Mat const*, cv::Mat*>(cv::Mat const*, cv::Mat const*, cv::Mat*)
  0.00      0.70     0.00     1278     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::_S_use_relocate()
  0.00      0.70     0.00     1268     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::_S_check_init_len(unsigned long, std::allocator<cv::Mat> const&)
  0.00      0.70     0.00     1248     0.00     0.00  mul_com(complex_mat const&, complex_mat const&)
  0.00      0.70     0.00     1247     0.00     0.00  cv::Mat* std::__uninitialized_copy_a<cv::Mat const*, cv::Mat*, cv::Mat>(cv::Mat const*, cv::Mat const*, cv::Mat*, std::allocator<cv::Mat>&)
  0.00      0.70     0.00     1226     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::vector(std::vector<cv::Mat, std::allocator<cv::Mat> >&&)
  0.00      0.70     0.00     1223     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      0.70     0.00     1220     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_base(unsigned long, std::allocator<cv::Mat> const&)
  0.00      0.70     0.00     1212     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_base()
  0.00      0.70     0.00     1160     0.00     0.00  cv::Mat* std::__uninitialized_default_n<cv::Mat*, unsigned long>(cv::Mat*, unsigned long)
  0.00      0.70     0.00     1155     0.00     0.00  cv::Mat* std::__uninitialized_default_n_1<false>::__uninit_default_n<cv::Mat*, unsigned long>(cv::Mat*, unsigned long)
  0.00      0.70     0.00     1150     0.00     0.00  cv::Matx<double, 4, 1>::Matx()
  0.00      0.70     0.00     1120     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::base() const
  0.00      0.70     0.00     1118     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::vector()
  0.00      0.70     0.00     1108     0.00     0.00  cv::Vec<double, 4>::Vec()
  0.00      0.70     0.00     1097     0.00     0.00  cv::Mat* std::__uninitialized_default_n_a<cv::Mat*, unsigned long, cv::Mat>(cv::Mat*, unsigned long, std::allocator<cv::Mat>&)
  0.00      0.70     0.00     1015     0.00     0.00  cv::Mat::channels() const
  0.00      0.70     0.00     1007     0.00     0.00  conj_com(complex_mat const&)
  0.00      0.70     0.00     1002     0.00     0.00  __gnu_cxx::new_allocator<complex_mat>::~new_allocator()
  0.00      0.70     0.00     1002     0.00     0.00  std::allocator<complex_mat>::~allocator()
  0.00      0.70     0.00      994     0.00     0.00  cv::Rect_<int>::Rect_(cv::Point_<int> const&, cv::Point_<int> const&)
  0.00      0.70     0.00      991     0.00     0.00  cv::Mat::operator()(cv::Rect_<int> const&) const
  0.00      0.70     0.00      964     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::_M_default_initialize(unsigned long)
  0.00      0.70     0.00      950     0.00     0.00  mul_com(complex_mat const&, float const&)
  0.00      0.70     0.00      927     0.00     0.00  cv::Size_<int>::Size_(cv::Size_<int> const&)
  0.00      0.70     0.00      853     0.00     0.00  acosTable()
  0.00      0.70     0.00      840     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::__normal_iterator(cv::Mat* const&)
  0.00      0.70     0.00      831     0.00     0.00  bool cv::operator!=<int>(cv::Rect_<int> const&, cv::Rect_<int> const&)
  0.00      0.70     0.00      732     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat const*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::base() const
  0.00      0.70     0.00      707     0.00     0.00  cv::Point_<int>::Point_()
  0.00      0.70     0.00      668     0.00     0.00  __gnu_cxx::new_allocator<complex_mat>::new_allocator(__gnu_cxx::new_allocator<complex_mat> const&)
  0.00      0.70     0.00      668     0.00     0.00  __gnu_cxx::new_allocator<complex_mat>::_M_max_size() const
  0.00      0.70     0.00      668     0.00     0.00  std::allocator<complex_mat>::allocator(std::allocator<complex_mat> const&)
  0.00      0.70     0.00      668     0.00     0.00  std::_Vector_base<complex_mat, std::allocator<complex_mat> >::_M_get_Tp_allocator()
  0.00      0.70     0.00      621     0.00     0.00  IFFT2(_COMPLEX**, float**, int, int)
  0.00      0.70     0.00      612     0.00     0.00  sqrnorm(std::vector<complex_mat, std::allocator<complex_mat> > const&, int, int)
  0.00      0.70     0.00      571     0.00     0.00  cv::Scalar_<double>::Scalar_(double)
  0.00      0.70     0.00      568     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat const*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::__normal_iterator(cv::Mat const* const&)
  0.00      0.70     0.00      567     0.00     0.00  cv::_OutputArray::_OutputArray(std::vector<cv::Mat, std::allocator<cv::Mat> >&)
  0.00      0.70     0.00      560     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat const*, std::vector<cv::Mat, std::allocator<cv::Mat> > > std::__miter_base<__gnu_cxx::__normal_iterator<cv::Mat const*, std::vector<cv::Mat, std::allocator<cv::Mat> > > >(__gnu_cxx::__normal_iterator<cv::Mat const*, std::vector<cv::Mat, std::allocator<cv::Mat> > >)
  0.00      0.70     0.00      560     0.00     0.00  cv::Mat const* std::__niter_base<cv::Mat const*, std::vector<cv::Mat, std::allocator<cv::Mat> > >(__gnu_cxx::__normal_iterator<cv::Mat const*, std::vector<cv::Mat, std::allocator<cv::Mat> > >)
  0.00      0.70     0.00      560     0.00     0.00  cv::Mat* std::__niter_base<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >(__gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >)
  0.00      0.70     0.00      510     0.00     0.00  cv::Scalar_<double>::Scalar_()
  0.00      0.70     0.00      480     0.00     0.00  newifft2(complex_mat const&)
  0.00      0.70     0.00      425     0.00     0.00  plus_com(complex_mat const&, complex_mat const&)
  0.00      0.70     0.00      378     0.00     0.00  cv::_InputArray::init(int, void const*, cv::Size_<int>)
  0.00      0.70     0.00      378     0.00     0.00  cv::_InputArray::_InputArray(double const&)
  0.00      0.70     0.00      378     0.00     0.00  cv::Size_<int>::operator=(cv::Size_<int> const&)
  0.00      0.70     0.00      334     0.00     0.00  __gnu_cxx::new_allocator<complex_mat>::deallocate(complex_mat*, unsigned long)
  0.00      0.70     0.00      334     0.00     0.00  __gnu_cxx::new_allocator<complex_mat>::allocate(unsigned long, void const*)
  0.00      0.70     0.00      334     0.00     0.00  __gnu_cxx::new_allocator<complex_mat>::new_allocator()
  0.00      0.70     0.00      334     0.00     0.00  __gnu_cxx::new_allocator<complex_mat>::max_size() const
  0.00      0.70     0.00      334     0.00     0.00  std::allocator<complex_mat>::allocator()
  0.00      0.70     0.00      334     0.00     0.00  void std::_Destroy_aux<false>::__destroy<complex_mat*>(complex_mat*, complex_mat*)
  0.00      0.70     0.00      334     0.00     0.00  std::_Vector_base<complex_mat, std::allocator<complex_mat> >::_M_allocate(unsigned long)
  0.00      0.70     0.00      334     0.00     0.00  std::_Vector_base<complex_mat, std::allocator<complex_mat> >::_Vector_impl::_Vector_impl(std::allocator<complex_mat> const&)
  0.00      0.70     0.00      334     0.00     0.00  std::_Vector_base<complex_mat, std::allocator<complex_mat> >::_Vector_impl::~_Vector_impl()
  0.00      0.70     0.00      334     0.00     0.00  std::_Vector_base<complex_mat, std::allocator<complex_mat> >::_M_deallocate(complex_mat*, unsigned long)
  0.00      0.70     0.00      334     0.00     0.00  std::_Vector_base<complex_mat, std::allocator<complex_mat> >::_M_create_storage(unsigned long)
  0.00      0.70     0.00      334     0.00     0.00  std::_Vector_base<complex_mat, std::allocator<complex_mat> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.70     0.00      334     0.00     0.00  std::_Vector_base<complex_mat, std::allocator<complex_mat> >::_Vector_base(unsigned long, std::allocator<complex_mat> const&)
  0.00      0.70     0.00      334     0.00     0.00  std::_Vector_base<complex_mat, std::allocator<complex_mat> >::~_Vector_base()
  0.00      0.70     0.00      334     0.00     0.00  std::allocator_traits<std::allocator<complex_mat> >::deallocate(std::allocator<complex_mat>&, complex_mat*, unsigned long)
  0.00      0.70     0.00      334     0.00     0.00  std::allocator_traits<std::allocator<complex_mat> >::allocate(std::allocator<complex_mat>&, unsigned long)
  0.00      0.70     0.00      334     0.00     0.00  std::allocator_traits<std::allocator<complex_mat> >::max_size(std::allocator<complex_mat> const&)
  0.00      0.70     0.00      334     0.00     0.00  complex_mat* std::__uninitialized_default_n_1<false>::__uninit_default_n<complex_mat*, unsigned long>(complex_mat*, unsigned long)
  0.00      0.70     0.00      334     0.00     0.00  std::vector<complex_mat, std::allocator<complex_mat> >::_S_max_size(std::allocator<complex_mat> const&)
  0.00      0.70     0.00      334     0.00     0.00  std::vector<complex_mat, std::allocator<complex_mat> >::_S_check_init_len(unsigned long, std::allocator<complex_mat> const&)
  0.00      0.70     0.00      334     0.00     0.00  std::vector<complex_mat, std::allocator<complex_mat> >::_M_default_initialize(unsigned long)
  0.00      0.70     0.00      334     0.00     0.00  std::vector<complex_mat, std::allocator<complex_mat> >::vector(unsigned long, std::allocator<complex_mat> const&)
  0.00      0.70     0.00      334     0.00     0.00  std::vector<complex_mat, std::allocator<complex_mat> >::~vector()
  0.00      0.70     0.00      334     0.00     0.00  complex_mat* std::__uninitialized_default_n<complex_mat*, unsigned long>(complex_mat*, unsigned long)
  0.00      0.70     0.00      334     0.00     0.00  complex_mat* std::__uninitialized_default_n_a<complex_mat*, unsigned long, complex_mat>(complex_mat*, unsigned long, std::allocator<complex_mat>&)
  0.00      0.70     0.00      334     0.00     0.00  void std::_Destroy<complex_mat*>(complex_mat*, complex_mat*)
  0.00      0.70     0.00      334     0.00     0.00  void std::_Destroy<complex_mat*, complex_mat>(complex_mat*, complex_mat*, std::allocator<complex_mat>&)
  0.00      0.70     0.00      330     0.00     0.00  new_gaussian_correlation(std::vector<complex_mat, std::allocator<complex_mat> > const&, std::vector<complex_mat, std::allocator<complex_mat> > const&, double, bool, int, int, int)
  0.00      0.70     0.00      284     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<cv::Mat>, cv::Mat>::_S_propagate_on_copy_assign()
  0.00      0.70     0.00      284     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::end() const
  0.00      0.70     0.00      284     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::begin() const
  0.00      0.70     0.00      284     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::operator=(std::vector<cv::Mat, std::allocator<cv::Mat> > const&)
  0.00      0.70     0.00      283     0.00     0.00  get_subwindow(cv::Mat const&, int, int, int, int, float)
